group,anchovy,sardine,rockfish,sanddabs,hake,warm mesopelagics,cool mesopelagics
1998,26.2,165.4,0,0,43.7,5,10.5
2003,,5.6,44,3.7,0,2,9.2
2004,8.9,60.2,63.2,5.5,49.8,2.7,61.8
2005,,0,44,1.5,0.7,0,9.3
2006,,0,16.5,0,0,0,132.3
2007,,0,24.4,0,0,4.9,13.8
2008,0,0,0,0,5.4,0,36.4
2010,0,14.6,4.9,4.9,9.7,0,85
2011,0,5.6,19.2,7.9,12,4.3,118
2013,,0,9.5,0,0,0,50
2016,5.5,1.4,43.8,14,5.9,8.8,199.1
2017,10.6,2,14,1.3,2.6,1.1,133.8
2018,,1.4,11,0.7,4.3,2.1,51.9
2022,92.8,1.4,20.6,0,44.9,9.3,150.7
2023,3.2,0.9,34.2,2.3,4.4,2.1,122.9
